run, id, cycles, Branch mispredictions, Icache busy
0, 0, 233828, 19, 212651 
0, 1, 20460, 13, 0 
0, 2, 20455, 12, 0 
0, 3, 20453, 11, 0 
0, 4, 20449, 10, 0 
0, 5, 20453, 11, 0 
0, 6, 20449, 10, 0 
0, 7, 20453, 11, 0 
0, 8, 20449, 10, 0 
0, 9, 20453, 11, 0 
0, 10, 20449, 10, 0 
0, 11, 20453, 11, 0 
0, 12, 20449, 10, 0 
0, 13, 20453, 11, 0 
0, 14, 20449, 10, 0 
0, 15, 20453, 11, 0 
0, 16, 20449, 10, 0 
0, 17, 20453, 11, 0 
0, 18, 20449, 10, 0 
0, 19, 20453, 11, 0 
0, 20, 20449, 10, 0 
0, 21, 20453, 11, 0 
0, 22, 20449, 10, 0 
0, 23, 20453, 11, 0 
0, 24, 20449, 10, 0 
0, 25, 20453, 11, 0 
0, 26, 20449, 10, 0 
0, 27, 20453, 11, 0 
0, 28, 20449, 10, 0 
0, 29, 20453, 11, 0 
0, 30, 20449, 10, 0 
0, 31, 20453, 11, 0 
0, 32, 20449, 10, 0 
0, 33, 20453, 11, 0 
0, 34, 20449, 10, 0 
0, 35, 20453, 11, 0 
0, 36, 20449, 10, 0 
0, 37, 20453, 11, 0 
0, 38, 20449, 10, 0 
0, 39, 20453, 11, 0 
0, 40, 20449, 10, 0 
0, 41, 20453, 11, 0 
0, 42, 20449, 10, 0 
0, 43, 20453, 11, 0 
0, 44, 20449, 10, 0 
0, 45, 20453, 11, 0 
0, 46, 20449, 10, 0 
0, 47, 20453, 11, 0 
0, 48, 20449, 10, 0 
0, 49, 20453, 11, 0 
1, 0, 233836, 22, 212652 
1, 1, 20464, 14, 0 
1, 2, 20462, 14, 0 
1, 3, 20455, 12, 0 
1, 4, 20456, 12, 0 
1, 5, 20452, 11, 0 
1, 6, 20456, 12, 0 
1, 7, 20452, 11, 0 
1, 8, 20456, 12, 0 
1, 9, 20452, 11, 0 
1, 10, 20456, 12, 0 
1, 11, 20452, 11, 0 
1, 12, 20456, 12, 0 
1, 13, 20452, 11, 0 
1, 14, 20456, 12, 0 
1, 15, 20452, 11, 0 
1, 16, 20456, 12, 0 
1, 17, 20452, 11, 0 
1, 18, 20456, 12, 0 
1, 19, 20452, 11, 0 
1, 20, 20456, 12, 0 
1, 21, 20452, 11, 0 
1, 22, 20456, 12, 0 
1, 23, 20452, 11, 0 
1, 24, 20456, 12, 0 
1, 25, 20452, 11, 0 
1, 26, 20456, 12, 0 
1, 27, 20452, 11, 0 
1, 28, 20456, 12, 0 
1, 29, 20452, 11, 0 
1, 30, 20456, 12, 0 
1, 31, 20452, 11, 0 
1, 32, 20456, 12, 0 
1, 33, 20452, 11, 0 
1, 34, 20456, 12, 0 
1, 35, 20452, 11, 0 
1, 36, 20456, 12, 0 
1, 37, 20452, 11, 0 
1, 38, 20456, 12, 0 
1, 39, 20452, 11, 0 
1, 40, 20456, 12, 0 
1, 41, 20452, 11, 0 
1, 42, 20456, 12, 0 
1, 43, 20452, 11, 0 
1, 44, 20456, 12, 0 
1, 45, 20452, 11, 0 
1, 46, 20456, 12, 0 
1, 47, 20452, 11, 0 
1, 48, 20456, 12, 0 
1, 49, 20452, 11, 0 
2, 0, 233830, 20, 212651 
2, 1, 20453, 10, 0 
2, 2, 20454, 11, 0 
2, 3, 20453, 11, 0 
2, 4, 20454, 11, 0 
2, 5, 20450, 10, 0 
2, 6, 20454, 11, 0 
2, 7, 20450, 10, 0 
2, 8, 20454, 11, 0 
2, 9, 20450, 10, 0 
2, 10, 20454, 11, 0 
2, 11, 20450, 10, 0 
2, 12, 20454, 11, 0 
2, 13, 20450, 10, 0 
2, 14, 20454, 11, 0 
2, 15, 20450, 10, 0 
2, 16, 20454, 11, 0 
2, 17, 20450, 10, 0 
2, 18, 20454, 11, 0 
2, 19, 20450, 10, 0 
2, 20, 20454, 11, 0 
2, 21, 20450, 10, 0 
2, 22, 20454, 11, 0 
2, 23, 20450, 10, 0 
2, 24, 20454, 11, 0 
2, 25, 20450, 10, 0 
2, 26, 20454, 11, 0 
2, 27, 20450, 10, 0 
2, 28, 20454, 11, 0 
2, 29, 20450, 10, 0 
2, 30, 20454, 11, 0 
2, 31, 20450, 10, 0 
2, 32, 20454, 11, 0 
2, 33, 20450, 10, 0 
2, 34, 20454, 11, 0 
2, 35, 20450, 10, 0 
2, 36, 20454, 11, 0 
2, 37, 20450, 10, 0 
2, 38, 20454, 11, 0 
2, 39, 20450, 10, 0 
2, 40, 20454, 11, 0 
2, 41, 20450, 10, 0 
2, 42, 20454, 11, 0 
2, 43, 20450, 10, 0 
2, 44, 20454, 11, 0 
2, 45, 20450, 10, 0 
2, 46, 20454, 11, 0 
2, 47, 20450, 10, 0 
2, 48, 20454, 11, 0 
2, 49, 20450, 10, 0 
3, 0, 233833, 21, 212652 
3, 1, 20465, 14, 1 
3, 2, 20455, 11, 0 
3, 3, 20453, 11, 0 
3, 4, 20454, 11, 0 
3, 5, 20453, 11, 0 
3, 6, 20454, 11, 0 
3, 7, 20454, 11, 0 
3, 8, 20454, 11, 0 
3, 9, 20453, 11, 0 
3, 10, 20454, 11, 0 
3, 11, 20453, 11, 0 
3, 12, 20454, 11, 0 
3, 13, 20453, 11, 0 
3, 14, 20454, 11, 0 
3, 15, 20453, 11, 0 
3, 16, 20454, 11, 0 
3, 17, 20453, 11, 0 
3, 18, 20454, 11, 0 
3, 19, 20453, 11, 0 
3, 20, 20454, 11, 0 
3, 21, 20453, 11, 0 
3, 22, 20454, 11, 0 
3, 23, 20453, 11, 0 
3, 24, 20454, 11, 0 
3, 25, 20453, 11, 0 
3, 26, 20454, 11, 0 
3, 27, 20453, 11, 0 
3, 28, 20454, 11, 0 
3, 29, 20453, 11, 0 
3, 30, 20454, 11, 0 
3, 31, 20453, 11, 0 
3, 32, 20454, 11, 0 
3, 33, 20453, 11, 0 
3, 34, 20454, 11, 0 
3, 35, 20453, 11, 0 
3, 36, 20454, 11, 0 
3, 37, 20453, 11, 0 
3, 38, 20454, 11, 0 
3, 39, 20453, 11, 0 
3, 40, 20454, 11, 0 
3, 41, 20453, 11, 0 
3, 42, 20454, 11, 0 
3, 43, 20453, 11, 0 
3, 44, 20454, 11, 0 
3, 45, 20453, 11, 0 
3, 46, 20454, 11, 0 
3, 47, 20453, 11, 0 
3, 48, 20454, 11, 0 
3, 49, 20453, 11, 0 
4, 0, 233834, 21, 212652 
4, 1, 20452, 10, 0 
4, 2, 20448, 9, 0 
4, 3, 20450, 10, 0 
4, 4, 20451, 10, 0 
4, 5, 20447, 9, 0 
4, 6, 20451, 10, 0 
4, 7, 20447, 9, 0 
4, 8, 20451, 10, 0 
4, 9, 20447, 9, 0 
4, 10, 20451, 10, 0 
4, 11, 20447, 9, 0 
4, 12, 20451, 10, 0 
4, 13, 20447, 9, 0 
4, 14, 20451, 10, 0 
4, 15, 20447, 9, 0 
4, 16, 20451, 10, 0 
4, 17, 20447, 9, 0 
4, 18, 20451, 10, 0 
4, 19, 20447, 9, 0 
4, 20, 20451, 10, 0 
4, 21, 20447, 9, 0 
4, 22, 20451, 10, 0 
4, 23, 20447, 9, 0 
4, 24, 20451, 10, 0 
4, 25, 20447, 9, 0 
4, 26, 20451, 10, 0 
4, 27, 20447, 9, 0 
4, 28, 20451, 10, 0 
4, 29, 20447, 9, 0 
4, 30, 20451, 10, 0 
4, 31, 20447, 9, 0 
4, 32, 20451, 10, 0 
4, 33, 20447, 9, 0 
4, 34, 20451, 10, 0 
4, 35, 20447, 9, 0 
4, 36, 20451, 10, 0 
4, 37, 20447, 9, 0 
4, 38, 20451, 10, 0 
4, 39, 20447, 9, 0 
4, 40, 20451, 10, 0 
4, 41, 20447, 9, 0 
4, 42, 20451, 10, 0 
4, 43, 20447, 9, 0 
4, 44, 20451, 10, 0 
4, 45, 20447, 9, 0 
4, 46, 20451, 10, 0 
4, 47, 20447, 9, 0 
4, 48, 20451, 10, 0 
4, 49, 20447, 9, 0 
5, 0, 233836, 22, 212652 
5, 1, 20464, 14, 0 
5, 2, 20459, 13, 0 
