run, id, cycles, Branch direction mis, Load-use interlock, Correct
7, 11, 92604, 620, 660, TRUE

7, 12, 92599, 620, 659, TRUE

7, 13, 92604, 620, 660, TRUE

7, 14, 92599, 620, 659, TRUE

7, 15, 92604, 620, 660, TRUE

7, 16, 92599, 620, 659, TRUE

7, 17, 92604, 620, 660, TRUE

7, 18, 92599, 620, 659, TRUE

7, 19, 92604, 620, 660, TRUE

8, 0, 311342, 655, 652, TRUE

8, 1, 95032, 630, 669, TRUE

8, 2, 92612, 623, 668, TRUE

8, 3, 92606, 623, 665, TRUE

8, 4, 92593, 620, 664, TRUE

8, 5, 92604, 620, 665, TRUE

8, 6, 92602, 620, 664, TRUE

8, 7, 92604, 620, 665, TRUE

8, 8, 92602, 620, 664, TRUE

8, 9, 92604, 620, 665, TRUE

8, 10, 92602, 620, 664, TRUE

8, 11, 92604, 620, 665, TRUE

8, 12, 92602, 620, 664, TRUE

8, 13, 92604, 620, 665, TRUE

8, 14, 92602, 620, 664, TRUE

8, 15, 92604, 620, 665, TRUE

8, 16, 92602, 620, 664, TRUE

8, 17, 92604, 620, 665, TRUE

8, 18, 92602, 620, 664, TRUE

8, 19, 92604, 620, 665, TRUE

9, 0, 311335, 648, 649, TRUE

9, 1, 97430, 631, 663, TRUE

9, 2, 92606, 623, 662, TRUE

9, 3, 92613, 624, 661, TRUE

9, 4, 92594, 620, 659, TRUE

9, 5, 92604, 620, 660, TRUE

9, 6, 92599, 620, 659, TRUE

9, 7, 92604, 620, 660, TRUE

9, 8, 92599, 620, 659, TRUE

9, 9, 92604, 620, 660, TRUE

9, 10, 92599, 620, 659, TRUE

9, 11, 92604, 620, 660, TRUE

9, 12, 92599, 620, 659, TRUE

9, 13, 92604, 620, 660, TRUE

9, 14, 92599, 620, 659, TRUE

9, 15, 92604, 620, 660, TRUE

9, 16, 92599, 620, 659, TRUE

9, 17, 92604, 620, 660, TRUE

9, 18, 92599, 620, 659, TRUE

9, 19, 92604, 620, 660, TRUE

10, 0, 311327, 650, 648, TRUE

10, 1, 95013, 627, 664, TRUE

10, 2, 92619, 627, 662, TRUE

10, 3, 92603, 623, 660, TRUE

10, 4, 92592, 621, 658, TRUE

10, 5, 92593, 619, 659, TRUE

10, 6, 92600, 619, 659, TRUE

10, 7, 92591, 619, 659, TRUE

10, 8, 92599, 621, 659, TRUE

10, 9, 92601, 619, 659, TRUE

10, 10, 92590, 619, 659, TRUE

10, 11, 92599, 621, 659, TRUE

10, 12, 92601, 619, 659, TRUE

10, 13, 92590, 619, 659, TRUE

10, 14, 92599, 621, 659, TRUE

10, 15, 92601, 619, 659, TRUE

10, 16, 92590, 619, 659, TRUE

10, 17, 92599, 621, 659, TRUE

10, 18, 92601, 619, 659, TRUE

10, 19, 92590, 619, 659, TRUE

11, 0, 311336, 652, 654, TRUE

11, 1, 97439, 628, 669, TRUE

11, 2, 92612, 623, 668, TRUE

11, 3, 92606, 623, 665, TRUE

11, 4, 92593, 620, 664, TRUE

11, 5, 92604, 620, 665, TRUE

11, 6, 92602, 620, 664, TRUE

11, 7, 92604, 620, 665, TRUE

11, 8, 92602, 620, 664, TRUE

11, 9, 92604, 620, 665, TRUE

11, 10, 92602, 620, 664, TRUE

11, 11, 92604, 620, 665, TRUE

11, 12, 92602, 620, 664, TRUE

11, 13, 92604, 620, 665, TRUE

11, 14, 92602, 620, 664, TRUE

11, 15, 92604, 620, 665, TRUE

11, 16, 92602, 620, 664, TRUE

11, 17, 92604, 620, 665, TRUE

11, 18, 92602, 620, 664, TRUE

11, 19, 92604, 620, 665, TRUE

12, 0, 311337, 648, 648, TRUE

12, 1, 95019, 630, 662, TRUE

12, 2, 92606, 623, 662, TRUE

12, 3, 92610, 623, 661, TRUE

12, 4, 92594, 620, 659, TRUE

12, 5, 92604, 620, 660, TRUE

12, 6, 92599, 620, 659, TRUE

12, 7, 92604, 620, 660, TRUE

12, 8, 92599, 620, 659, TRUE

12, 9, 92604, 620, 660, TRUE

12, 10, 92599, 620, 659, TRUE

12, 11, 92604, 620, 660, TRUE

12, 12, 92599, 620, 659, TRUE

12, 13, 92604, 620, 660, TRUE

12, 14, 92599, 620, 659, TRUE

12, 15, 92604, 620, 660, TRUE

12, 16, 92599, 620, 659, TRUE

12, 17, 92604, 620, 660, TRUE

12, 18, 92599, 620, 659, TRUE

12, 19, 92604, 620, 660, TRUE

13, 0, 311330, 651, 654, TRUE

13, 1, 97439, 628, 669, TRUE

13, 2, 92612, 623, 668, TRUE

13, 3, 92606, 623, 665, TRUE

13, 4, 92593, 620, 664, TRUE

13, 5, 92604, 620, 665, TRUE

13, 6, 92602, 620, 664, TRUE

13, 7, 92604, 620, 665, TRUE

13, 8, 92602, 620, 664, TRUE

13, 9, 92604, 620, 665, TRUE

13, 10, 92602, 620, 664, TRUE

13, 11, 92604, 620, 665, TRUE

13, 12, 92602, 620, 664, TRUE

13, 13, 92604, 620, 665, TRUE

13, 14, 92602, 620, 664, TRUE

13, 15, 92604, 620, 665, TRUE

13, 16, 92602, 620, 664, TRUE

13, 17, 92604, 620, 665, TRUE

13, 18, 92602, 620, 664, TRUE

13, 19, 92604, 620, 665, TRUE

14, 0, 311315, 647, 646, TRUE

14, 1, 95026, 632, 664, TRUE

14, 2, 92603, 623, 663, TRUE

14, 3, 92606, 624, 661, TRUE

14, 4, 92596, 620, 660, TRUE

14, 5, 92596, 620, 660, TRUE

14, 6, 92597, 620, 660, TRUE

14, 7, 92596, 620, 660, TRUE

14, 8, 92597, 620, 660, TRUE

14, 9, 92596, 620, 660, TRUE

14, 10, 92597, 620, 660, TRUE

14, 11, 92596, 620, 660, TRUE

14, 12, 92597, 620, 660, TRUE

14, 13, 92596, 620, 660, TRUE

14, 14, 92597, 620, 660, TRUE

14, 15, 92596, 620, 660, TRUE

14, 16, 92597, 620, 660, TRUE

14, 17, 92596, 620, 660, TRUE

14, 18, 92597, 620, 660, TRUE

14, 19, 92596, 620, 660, TRUE

15, 0, 311346, 653, 647, TRUE

15, 1, 95020, 627, 665, TRUE

15, 2, 92616, 627, 664, TRUE

15, 3, 92611, 623, 661, TRUE

15, 4, 92592, 619, 661, TRUE

15, 5, 92601, 621, 659, TRUE

15, 6, 92593, 619, 660, TRUE

15, 7, 92606, 621, 660, TRUE

15, 8, 92592, 619, 661, TRUE

15, 9, 92593, 621, 659, TRUE

15, 10, 92593, 619, 660, TRUE

15, 11, 92606, 621, 660, TRUE

15, 12, 92592, 619, 661, TRUE

15, 13, 92593, 621, 659, TRUE

15, 14, 92593, 619, 660, TRUE

15, 15, 92606, 621, 660, TRUE

15, 16, 92592, 619, 661, TRUE

15, 17, 92593, 621, 659, TRUE

15, 18, 92593, 619, 660, TRUE

15, 19, 92606, 621, 660, TRUE

16, 0, 311333, 652, 652, TRUE

16, 1, 97434, 627, 671, TRUE

16, 2, 92610, 624, 668, TRUE

16, 3, 92612, 624, 666, TRUE

16, 4, 92598, 621, 665, TRUE

16, 5, 92599, 621, 665, TRUE

16, 6, 92599, 621, 665, TRUE

16, 7, 92599, 621, 665, TRUE

16, 8, 92599, 621, 665, TRUE

16, 9, 92599, 621, 665, TRUE

16, 10, 92599, 621, 665, TRUE

16, 11, 92599, 621, 665, TRUE

16, 12, 92599, 621, 665, TRUE

16, 13, 92599, 621, 665, TRUE

16, 14, 92599, 621, 665, TRUE

16, 15, 92599, 621, 665, TRUE

16, 16, 92599, 621, 665, TRUE

16, 17, 92599, 621, 665, TRUE

16, 18, 92599, 621, 665, TRUE

16, 19, 92599, 621, 665, TRUE

17, 0, 311331, 646, 653, TRUE

17, 1, 95012, 627, 671, TRUE

17, 2, 92603, 622, 666, TRUE

17, 3, 92604, 622, 665, TRUE

17, 4, 92595, 621, 663, TRUE

17, 5, 92593, 619, 665, TRUE

17, 6, 92598, 621, 664, TRUE

17, 7, 92589, 619, 664, TRUE

17, 8, 92599, 621, 664, TRUE

17, 9, 92593, 619, 665, TRUE

17, 10, 92598, 621, 664, TRUE

17, 11, 92589, 619, 664, TRUE

17, 12, 92599, 621, 664, TRUE

17, 13, 92593, 619, 665, TRUE

17, 14, 92598, 621, 664, TRUE

17, 15, 92589, 619, 664, TRUE

17, 16, 92599, 621, 664, TRUE

17, 17, 92593, 619, 665, TRUE

17, 18, 92598, 621, 664, TRUE

17, 19, 92589, 619, 664, TRUE

18, 0, 311320, 649, 648, TRUE

18, 1, 97417, 626, 664, TRUE

18, 2, 92619, 627, 662, TRUE

18, 3, 92603, 623, 660, TRUE

18, 4, 92592, 621, 658, TRUE

18, 5, 92593, 619, 659, TRUE

18, 6, 92606, 621, 659, TRUE

18, 7, 92592, 619, 660, TRUE

18, 8, 92593, 621, 658, TRUE

18, 9, 92593, 619, 659, TRUE

18, 10, 92606, 621, 659, TRUE

18, 11, 92592, 619, 660, TRUE

18, 12, 92593, 621, 658, TRUE

18, 13, 92593, 619, 659, TRUE

18, 14, 92606, 621, 659, TRUE

18, 15, 92592, 619, 660, TRUE

18, 16, 92593, 621, 658, TRUE

18, 17, 92593, 619, 659, TRUE

18, 18, 92606, 621, 659, TRUE

18, 19, 92592, 619, 660, TRUE

19, 0, 311340, 649, 649, TRUE

19, 1, 95025, 631, 663, TRUE

19, 2, 92612, 623, 663, TRUE

19, 3, 92603, 623, 660, TRUE

19, 4, 92590, 620, 659, TRUE

19, 5, 92604, 620, 660, TRUE

19, 6, 92599, 620, 659, TRUE

19, 7, 92604, 620, 660, TRUE

19, 8, 92599, 620, 659, TRUE

19, 9, 92604, 620, 660, TRUE

19, 10, 92599, 620, 659, TRUE

19, 11, 92604, 620, 660, TRUE

19, 12, 92599, 620, 659, TRUE

19, 13, 92604, 620, 660, TRUE

19, 14, 92599, 620, 659, TRUE

19, 15, 92604, 620, 660, TRUE

19, 16, 92599, 620, 659, TRUE

19, 17, 92604, 620, 660, TRUE

19, 18, 92599, 620, 659, TRUE

19, 19, 92604, 620, 660, TRUE

20, 0, 311320, 648, 646, TRUE

20, 1, 97437, 630, 663, TRUE

20, 2, 92612, 623, 663, TRUE

20, 3, 92603, 623, 660, TRUE

20, 4, 92590, 620, 659, TRUE

20, 5, 92604, 620, 660, TRUE

20, 6, 92599, 620, 659, TRUE

20, 7, 92604, 620, 660, TRUE

20, 8, 92599, 620, 659, TRUE

20, 9, 92604, 620, 660, TRUE

20, 10, 92599, 620, 659, TRUE

20, 11, 92604, 620, 660, TRUE

20, 12, 92599, 620, 659, TRUE

20, 13, 92604, 620, 660, TRUE

20, 14, 92599, 620, 659, TRUE

20, 15, 92604, 620, 660, TRUE

20, 16, 92599, 620, 659, TRUE

20, 17, 92604, 620, 660, TRUE

20, 18, 92599, 620, 659, TRUE

20, 19, 92604, 620, 660, TRUE

21, 0, 308916, 648, 651, TRUE

21, 1, 92635, 631, 671, TRUE

21, 2, 92606, 621, 668, TRUE

21, 3, 92595, 620, 665, TRUE

21, 4, 92606, 620, 665, TRUE

21, 5, 92600, 620, 664, TRUE

21, 6, 92606, 620, 665, TRUE

21, 7, 92600, 620, 664, TRUE

21, 8, 92606, 620, 665, TRUE

21, 9, 92600, 620, 664, TRUE

21, 10, 92606, 620, 665, TRUE

21, 11, 92600, 620, 664, TRUE

21, 12, 92606, 620, 665, TRUE

21, 13, 92600, 620, 664, TRUE

21, 14, 92606, 620, 665, TRUE

21, 15, 92600, 620, 664, TRUE

21, 16, 92606, 620, 665, TRUE

21, 17, 92600, 620, 664, TRUE

21, 18, 92606, 620, 665, TRUE

21, 19, 92600, 620, 664, TRUE

22, 0, 311341, 649, 654, TRUE

22, 1, 97429, 629, 669, TRUE

22, 2, 92612, 623, 668, TRUE

22, 3, 92606, 623, 665, TRUE

22, 4, 92593, 620, 664, TRUE

22, 5, 92604, 620, 665, TRUE

22, 6, 92602, 620, 664, TRUE

22, 7, 92604, 620, 665, TRUE

22, 8, 92602, 620, 664, TRUE

22, 9, 92604, 620, 665, TRUE

22, 10, 92602, 620, 664, TRUE

22, 11, 92604, 620, 665, TRUE

22, 12, 92602, 620, 664, TRUE

22, 13, 92604, 620, 665, TRUE

22, 14, 92602, 620, 664, TRUE

22, 15, 92604, 620, 665, TRUE

22, 16, 92602, 620, 664, TRUE

22, 17, 92604, 620, 665, TRUE

22, 18, 92602, 620, 664, TRUE

22, 19, 92604, 620, 665, TRUE

23, 0, 311333, 648, 646, TRUE

23, 1, 95016, 627, 664, TRUE

23, 2, 92616, 627, 663, TRUE

23, 3, 92611, 623, 660, TRUE

23, 4, 92592, 619, 659, TRUE

23, 5, 92587, 619, 660, TRUE

23, 6, 92599, 621, 658, TRUE

23, 7, 92593, 619, 659, TRUE

23, 8, 92600, 619, 659, TRUE

23, 9, 92591, 619, 659, TRUE

23, 10, 92599, 621, 659, TRUE

23, 11, 92601, 619, 659, TRUE

23, 12, 92590, 619, 659, TRUE

23, 13, 92599, 621, 659, TRUE

23, 14, 92601, 619, 659, TRUE

23, 15, 92590, 619, 659, TRUE

23, 16, 92599, 621, 659, TRUE

23, 17, 92601, 619, 659, TRUE

23, 18, 92590, 619, 659, TRUE

23, 19, 92599, 621, 659, TRUE

24, 0, 311339, 649, 647, TRUE

24, 1, 97421, 627, 664, TRUE

24, 2, 92613, 625, 661, TRUE

24, 3, 92604, 623, 660, TRUE

24, 4, 92592, 621, 658, TRUE

24, 5, 92594, 619, 659, TRUE

24, 6, 92607, 621, 659, TRUE

24, 7, 92590, 619, 659, TRUE

24, 8, 92607, 621, 659, TRUE

24, 9, 92590, 619, 659, TRUE

24, 10, 92607, 621, 659, TRUE

24, 11, 92590, 619, 659, TRUE

24, 12, 92607, 621, 659, TRUE

24, 13, 92590, 619, 659, TRUE

24, 14, 92607, 621, 659, TRUE

24, 15, 92590, 619, 659, TRUE

24, 16, 92607, 621, 659, TRUE

24, 17, 92590, 619, 659, TRUE

24, 18, 92607, 621, 659, TRUE

24, 19, 92590, 619, 659, TRUE

25, 0, 311332, 652, 651, TRUE

25, 1, 95029, 629, 668, TRUE

25, 2, 92612, 623, 668, TRUE

25, 3, 92606, 623, 665, TRUE

25, 4, 92593, 620, 664, TRUE

25, 5, 92604, 620, 665, TRUE

25, 6, 92602, 620, 664, TRUE

25, 7, 92604, 620, 665, TRUE

25, 8, 92602, 620, 664, TRUE

25, 9, 92604, 620, 665, TRUE

25, 10, 92602, 620, 664, TRUE

25, 11, 92604, 620, 665, TRUE

25, 12, 92602, 620, 664, TRUE

25, 13, 92604, 620, 665, TRUE

25, 14, 92602, 620, 664, TRUE

25, 15, 92604, 620, 665, TRUE

25, 16, 92602, 620, 664, TRUE

25, 17, 92604, 620, 665, TRUE

25, 18, 92602, 620, 664, TRUE

25, 19, 92604, 620, 665, TRUE

26, 0, 311315, 647, 651, TRUE

26, 1, 97430, 628, 668, TRUE

26, 2, 92603, 623, 668, TRUE

26, 3, 92603, 623, 666, TRUE

26, 4, 92596, 620, 665, TRUE

26, 5, 92595, 620, 665, TRUE

26, 6, 92597, 620, 665, TRUE

26, 7, 92596, 620, 665, TRUE

26, 8, 92597, 620, 665, TRUE

26, 9, 92596, 620, 665, TRUE

26, 10, 92597, 620, 665, TRUE

26, 11, 92596, 620, 665, TRUE

26, 12, 92597, 620, 665, TRUE

26, 13, 92596, 620, 665, TRUE

26, 14, 92597, 620, 665, TRUE

26, 15, 92596, 620, 665, TRUE

26, 16, 92597, 620, 665, TRUE

26, 17, 92596, 620, 665, TRUE

26, 18, 92597, 620, 665, TRUE

26, 19, 92596, 620, 665, TRUE

27, 0, 311342, 650, 649, TRUE

27, 1, 95026, 632, 664, TRUE

27, 2, 92603, 623, 663, TRUE

27, 3, 92603, 623, 661, TRUE

27, 4, 92596, 620, 660, TRUE

27, 5, 92596, 620, 660, TRUE

27, 6, 92597, 620, 660, TRUE

27, 7, 92596, 620, 660, TRUE

27, 8, 92597, 620, 660, TRUE

27, 9, 92596, 620, 660, TRUE

27, 10, 92597, 620, 660, TRUE

27, 11, 92596, 620, 660, TRUE

27, 12, 92597, 620, 660, TRUE

27, 13, 92596, 620, 660, TRUE

27, 14, 92597, 620, 660, TRUE

27, 15, 92596, 620, 660, TRUE

27, 16, 92597, 620, 660, TRUE

27, 17, 92596, 620, 660, TRUE

27, 18, 92597, 620, 660, TRUE

27, 19, 92596, 620, 660, TRUE

28, 0, 311334, 652, 654, TRUE

28, 1, 97439, 629, 669, TRUE

28, 2, 92612, 623, 668, TRUE

28, 3, 92606, 623, 665, TRUE

28, 4, 92593, 620, 664, TRUE

28, 5, 92604, 620, 665, TRUE

28, 6, 92602, 620, 664, TRUE

28, 7, 92604, 620, 665, TRUE

28, 8, 92602, 620, 664, TRUE

28, 9, 92604, 620, 665, TRUE

28, 10, 92602, 620, 664, TRUE

28, 11, 92604, 620, 665, TRUE

28, 12, 92602, 620, 664, TRUE

28, 13, 92604, 620, 665, TRUE

28, 14, 92602, 620, 664, TRUE

28, 15, 92604, 620, 665, TRUE

28, 16, 92602, 620, 664, TRUE

28, 17, 92604, 620, 665, TRUE

28, 18, 92602, 620, 664, TRUE

28, 19, 92604, 620, 665, TRUE

29, 0, 311328, 646, 650, TRUE

29, 1, 95024, 630, 663, TRUE

29, 2, 92610, 623, 662, TRUE

29, 3, 92602, 622, 661, TRUE

29, 4, 92592, 619, 660, TRUE

29, 5, 92601, 621, 658, TRUE

29, 6, 92593, 619, 659, TRUE

29, 7, 92600, 619, 659, TRUE

29, 8, 92591, 619, 659, TRUE

29, 9, 92599, 621, 659, TRUE

29, 10, 92601, 619, 659, TRUE

29, 11, 92590, 619, 659, TRUE

29, 12, 92599, 621, 659, TRUE

29, 13, 92601, 619, 659, TRUE

29, 14, 92590, 619, 659, TRUE

29, 15, 92599, 621, 659, TRUE

29, 16, 92601, 619, 659, TRUE

29, 17, 92590, 619, 659, TRUE

29, 18, 92599, 621, 659, TRUE

29, 19, 92601, 619, 659, TRUE

30, 0, 311336, 655, 647, TRUE

30, 1, 95028, 629, 666, TRUE

30, 2, 92604, 625, 665, TRUE

30, 3, 92610, 625, 662, TRUE

30, 4, 92598, 621, 660, TRUE

30, 5, 92600, 619, 660, TRUE

30, 6, 92591, 619, 660, TRUE

30, 7, 92599, 621, 660, TRUE

30, 8, 92601, 619, 660, TRUE

30, 9, 92590, 619, 660, TRUE

30, 10, 92599, 621, 660, TRUE

30, 11, 92601, 619, 660, TRUE

30, 12, 92590, 619, 660, TRUE

30, 13, 92599, 621, 660, TRUE

30, 14, 92601, 619, 660, TRUE

30, 15, 92590, 619, 660, TRUE

30, 16, 92599, 621, 660, TRUE

30, 17, 92601, 619, 660, TRUE

30, 18, 92590, 619, 660, TRUE

30, 19, 92599, 621, 660, TRUE

31, 0, 311320, 648, 646, TRUE

31, 1, 97440, 631, 663, TRUE

31, 2, 92612, 623, 663, TRUE

31, 3, 92603, 623, 660, TRUE

31, 4, 92590, 620, 659, TRUE

31, 5, 92604, 620, 660, TRUE

31, 6, 92599, 620, 659, TRUE

31, 7, 92604, 620, 660, TRUE

31, 8, 92599, 620, 659, TRUE

31, 9, 92604, 620, 660, TRUE

31, 10, 92599, 620, 659, TRUE

31, 11, 92604, 620, 660, TRUE

31, 12, 92599, 620, 659, TRUE

31, 13, 92604, 620, 660, TRUE

31, 14, 92599, 620, 659, TRUE

31, 15, 92604, 620, 660, TRUE

31, 16, 92599, 620, 659, TRUE

31, 17, 92604, 620, 660, TRUE

31, 18, 92599, 620, 659, TRUE

31, 19, 92604, 620, 660, TRUE

32, 0, 311335, 652, 648, TRUE

32, 1, 95013, 627, 664, TRUE

32, 2, 92616, 626, 661, TRUE

32, 3, 92603, 623, 660, TRUE

