run, id, cycles, Branch predicistion mis, Branch target mis, Correct
38, 9, 92595, 620, 29, false

38, 10, 92594, 620, 28, false

38, 11, 92595, 620, 29, false

38, 12, 92594, 620, 28, false

38, 13, 92595, 620, 29, false

38, 14, 92594, 620, 28, false

38, 15, 92595, 620, 29, false

38, 16, 92594, 620, 28, false

38, 17, 92595, 620, 29, false

38, 18, 92594, 620, 28, false

38, 19, 92595, 620, 29, false

39, 0, 308908, 647, 27, false

39, 1, 92619, 630, 25, false

39, 2, 92609, 626, 26, false

39, 3, 92606, 625, 28, false

39, 4, 92592, 619, 29, false

39, 5, 92602, 619, 28, false

39, 6, 92592, 619, 29, false

39, 7, 92602, 621, 28, false

39, 8, 92595, 619, 28, false

39, 9, 92605, 621, 28, false

39, 10, 92592, 619, 29, false

39, 11, 92602, 621, 28, false

39, 12, 92595, 619, 28, false

39, 13, 92605, 621, 28, false

39, 14, 92592, 619, 29, false

39, 15, 92602, 621, 28, false

39, 16, 92595, 619, 28, false

39, 17, 92605, 621, 28, false

39, 18, 92592, 619, 29, false

39, 19, 92602, 621, 28, false

40, 0, 311318, 646, 28, false

40, 1, 92634, 632, 26, false

40, 2, 92609, 623, 26, false

40, 3, 92601, 623, 28, false

40, 4, 92594, 620, 28, false

40, 5, 92595, 620, 29, false

40, 6, 92594, 620, 28, false

40, 7, 92595, 620, 29, false

40, 8, 92594, 620, 28, false

40, 9, 92595, 620, 29, false

