run, id, cycles, Branch mispredictions, Icache busy
0, 0, 1012834, 1468, 132 
0, 1, 727701, 680, 2 
0, 2, 720982, 45, 0 
0, 3, 720975, 43, 0 
0, 4, 720964, 39, 0 
0, 5, 720969, 41, 0 
0, 6, 722871, 675, 0 
0, 7, 720969, 41, 0 
0, 8, 722871, 675, 0 
0, 9, 722867, 674, 0 
0, 10, 722871, 675, 0 
0, 11, 720969, 41, 0 
0, 12, 722487, 547, 0 
0, 13, 722867, 674, 0 
0, 14, 722871, 675, 0 
0, 15, 720969, 41, 0 
0, 16, 722871, 675, 0 
0, 17, 722867, 674, 0 
0, 18, 722871, 675, 0 
0, 19, 720969, 41, 0 
0, 20, 722487, 547, 0 
0, 21, 722867, 674, 0 
0, 22, 722871, 675, 0 
0, 23, 720969, 41, 0 
0, 24, 722871, 675, 0 
0, 25, 722867, 674, 0 
0, 26, 722871, 675, 0 
0, 27, 720969, 41, 0 
0, 28, 722487, 547, 0 
0, 29, 722867, 674, 0 
0, 30, 722871, 675, 0 
0, 31, 720969, 41, 0 
0, 32, 722871, 675, 0 
0, 33, 722867, 674, 0 
0, 34, 722871, 675, 0 
0, 35, 720969, 41, 0 
0, 36, 722487, 547, 0 
0, 37, 722867, 674, 0 
0, 38, 722871, 675, 0 
0, 39, 720969, 41, 0 
0, 40, 722871, 675, 0 
0, 41, 722867, 674, 0 
0, 42, 722871, 675, 0 
0, 43, 720969, 41, 0 
0, 44, 722487, 547, 0 
0, 45, 722867, 674, 0 
0, 46, 722871, 675, 0 
0, 47, 720969, 41, 0 
0, 48, 722871, 675, 0 
0, 49, 722867, 674, 0 
1, 0, 1010150, 573, 132 
1, 1, 731378, 301, 4 
1, 2, 726559, 299, 2 
1, 3, 727706, 682, 2 
1, 4, 727689, 676, 2 
1, 5, 722495, 550, 0 
1, 6, 720965, 40, 0 
1, 7, 720966, 40, 0 
1, 8, 722871, 675, 0 
1, 9, 722867, 674, 0 
1, 10, 722867, 674, 0 
1, 11, 722867, 674, 0 
1, 12, 722867, 674, 0 
1, 13, 722867, 674, 0 
1, 14, 722867, 674, 0 
1, 15, 722867, 674, 0 
1, 16, 722867, 674, 0 
1, 17, 722867, 674, 0 
1, 18, 722867, 674, 0 
1, 19, 722867, 674, 0 
1, 20, 722867, 674, 0 
1, 21, 722867, 674, 0 
1, 22, 722867, 674, 0 
1, 23, 722867, 674, 0 
1, 24, 722867, 674, 0 
1, 25, 722867, 674, 0 
1, 26, 722867, 674, 0 
1, 27, 722867, 674, 0 
1, 28, 722867, 674, 0 
1, 29, 722867, 674, 0 
1, 30, 722867, 674, 0 
1, 31, 722867, 674, 0 
1, 32, 722867, 674, 0 
1, 33, 722867, 674, 0 
1, 34, 722867, 674, 0 
1, 35, 722867, 674, 0 
1, 36, 722867, 674, 0 
1, 37, 722867, 674, 0 
1, 38, 722867, 674, 0 
1, 39, 722867, 674, 0 
1, 40, 722867, 674, 0 
1, 41, 722867, 674, 0 
1, 42, 722867, 674, 0 
1, 43, 722867, 674, 0 
1, 44, 722867, 674, 0 
1, 45, 722867, 674, 0 
1, 46, 722867, 674, 0 
1, 47, 722867, 674, 0 
1, 48, 722867, 674, 0 
1, 49, 722867, 674, 0 
2, 0, 1010147, 572, 132 
2, 1, 725810, 50, 2 
2, 2, 720976, 43, 0 
2, 3, 720963, 39, 0 
2, 4, 722871, 675, 0 
2, 5, 722870, 675, 0 
2, 6, 722867, 674, 0 
2, 7, 722867, 674, 0 
2, 8, 722867, 674, 0 
2, 9, 722867, 674, 0 
2, 10, 722867, 674, 0 
2, 11, 722867, 674, 0 
2, 12, 722867, 674, 0 
2, 13, 722867, 674, 0 
2, 14, 722867, 674, 0 
2, 15, 722867, 674, 0 
2, 16, 722867, 674, 0 
2, 17, 722867, 674, 0 
2, 18, 722867, 674, 0 
2, 19, 722867, 674, 0 
2, 20, 722867, 674, 0 
2, 21, 722867, 674, 0 
2, 22, 722867, 674, 0 
2, 23, 722867, 674, 0 
2, 24, 722867, 674, 0 
2, 25, 722867, 674, 0 
2, 26, 722867, 674, 0 
2, 27, 722867, 674, 0 
2, 28, 722867, 674, 0 
2, 29, 722867, 674, 0 
2, 30, 722867, 674, 0 
2, 31, 722867, 674, 0 
2, 32, 722867, 674, 0 
2, 33, 722867, 674, 0 
2, 34, 722867, 674, 0 
2, 35, 722867, 674, 0 
2, 36, 722867, 674, 0 
2, 37, 722867, 674, 0 
2, 38, 722867, 674, 0 
2, 39, 722867, 674, 0 
2, 40, 722867, 674, 0 
2, 41, 722867, 674, 0 
2, 42, 722867, 674, 0 
2, 43, 722867, 674, 0 
2, 44, 722867, 674, 0 
2, 45, 722867, 674, 0 
2, 46, 722867, 674, 0 
2, 47, 722867, 674, 0 
2, 48, 722867, 674, 0 
2, 49, 722867, 674, 0 
3, 0, 1010149, 573, 132 
3, 1, 732521, 682, 4 
3, 2, 725799, 46, 2 
3, 3, 725780, 40, 2 
3, 4, 727685, 675, 2 
3, 5, 720969, 41, 0 
3, 6, 722871, 675, 0 
3, 7, 720969, 41, 0 
3, 8, 720963, 39, 0 
3, 9, 720960, 38, 0 
3, 10, 720963, 39, 0 
3, 11, 720963, 39, 0 
3, 12, 720963, 39, 0 
3, 13, 720963, 39, 0 
3, 14, 720963, 39, 0 
3, 15, 720963, 39, 0 
3, 16, 720963, 39, 0 
3, 17, 720963, 39, 0 
3, 18, 720963, 39, 0 
3, 19, 720963, 39, 0 
3, 20, 720963, 39, 0 
3, 21, 720963, 39, 0 
3, 22, 720963, 39, 0 
3, 23, 720963, 39, 0 
3, 24, 720963, 39, 0 
3, 25, 720963, 39, 0 
3, 26, 720963, 39, 0 
3, 27, 720963, 39, 0 
3, 28, 720963, 39, 0 
3, 29, 720963, 39, 0 
3, 30, 720963, 39, 0 
3, 31, 720963, 39, 0 
3, 32, 720963, 39, 0 
3, 33, 720963, 39, 0 
3, 34, 720963, 39, 0 
3, 35, 720963, 39, 0 
3, 36, 720963, 39, 0 
3, 37, 720963, 39, 0 
3, 38, 720963, 39, 0 
3, 39, 720963, 39, 0 
3, 40, 720963, 39, 0 
3, 41, 720963, 39, 0 
3, 42, 720963, 39, 0 
3, 43, 720963, 39, 0 
3, 44, 720963, 39, 0 
3, 45, 720963, 39, 0 
3, 46, 720963, 39, 0 
3, 47, 720963, 39, 0 
3, 48, 720963, 39, 0 
3, 49, 720963, 39, 0 
4, 0, 1012827, 1465, 132 
4, 1, 727712, 684, 2 
4, 2, 720976, 43, 0 
4, 3, 720969, 41, 0 
4, 4, 722871, 675, 0 
4, 5, 722867, 674, 0 
4, 6, 722868, 674, 0 
4, 7, 722867, 674, 0 
4, 8, 722871, 675, 0 
4, 9, 722867, 674, 0 
4, 10, 722871, 675, 0 
4, 11, 722490, 548, 0 
4, 12, 720966, 40, 0 
4, 13, 720966, 40, 0 
4, 14, 722871, 675, 0 
4, 15, 720969, 41, 0 
4, 16, 722871, 675, 0 
4, 17, 722867, 674, 0 
4, 18, 722871, 675, 0 
4, 19, 722490, 548, 0 
4, 20, 720966, 40, 0 
4, 21, 720966, 40, 0 
4, 22, 722871, 675, 0 
4, 23, 720969, 41, 0 
4, 24, 722871, 675, 0 
4, 25, 722867, 674, 0 
4, 26, 722871, 675, 0 
4, 27, 722490, 548, 0 
4, 28, 720966, 40, 0 
4, 29, 720966, 40, 0 
4, 30, 722871, 675, 0 
4, 31, 720969, 41, 0 
4, 32, 722871, 675, 0 
4, 33, 722867, 674, 0 
4, 34, 722871, 675, 0 
4, 35, 722490, 548, 0 
4, 36, 720966, 40, 0 
4, 37, 720966, 40, 0 
4, 38, 722871, 675, 0 
4, 39, 720969, 41, 0 
4, 40, 722871, 675, 0 
4, 41, 722867, 674, 0 
4, 42, 722871, 675, 0 
4, 43, 722490, 548, 0 
4, 44, 720966, 40, 0 
4, 45, 720966, 40, 0 
4, 46, 722871, 675, 0 
4, 47, 720969, 41, 0 
4, 48, 722871, 675, 0 
4, 49, 722867, 674, 0 
5, 0, 1010153, 574, 132 
5, 1, 732515, 680, 4 
