run, id, cycles, Branch direction mis, Load-use interlock, Correct
0, 0, 308919, 649, 654, TRUE

0, 1, 92622, 626, 672, TRUE

0, 2, 92617, 625, 668, TRUE

0, 3, 92592, 619, 664, TRUE

0, 4, 92587, 619, 665, TRUE

0, 5, 92604, 621, 663, TRUE

0, 6, 92596, 619, 664, TRUE

0, 7, 92606, 621, 664, TRUE

0, 8, 92592, 619, 665, TRUE

0, 9, 92596, 621, 663, TRUE

0, 10, 92596, 619, 664, TRUE

0, 11, 92606, 621, 664, TRUE

0, 12, 92592, 619, 665, TRUE

0, 13, 92596, 621, 663, TRUE

0, 14, 92596, 619, 664, TRUE

0, 15, 92606, 621, 664, TRUE

0, 16, 92592, 619, 665, TRUE

0, 17, 92596, 621, 663, TRUE

0, 18, 92596, 619, 664, TRUE

0, 19, 92606, 621, 664, TRUE

1, 0, 311324, 645, 653, TRUE

1, 1, 97419, 626, 670, TRUE

1, 2, 92604, 622, 666, TRUE

1, 3, 92604, 622, 665, TRUE

1, 4, 92595, 621, 663, TRUE

1, 5, 92597, 619, 664, TRUE

1, 6, 92607, 621, 664, TRUE

1, 7, 92593, 619, 664, TRUE

1, 8, 92607, 621, 664, TRUE

1, 9, 92593, 619, 664, TRUE

1, 10, 92607, 621, 664, TRUE

1, 11, 92593, 619, 664, TRUE

1, 12, 92607, 621, 664, TRUE

1, 13, 92593, 619, 664, TRUE

1, 14, 92607, 621, 664, TRUE

1, 15, 92593, 619, 664, TRUE

1, 16, 92607, 621, 664, TRUE

1, 17, 92593, 619, 664, TRUE

1, 18, 92607, 621, 664, TRUE

1, 19, 92593, 619, 664, TRUE

2, 0, 311331, 647, 649, TRUE

2, 1, 95025, 631, 663, TRUE

2, 2, 92612, 623, 663, TRUE

2, 3, 92606, 624, 660, TRUE

2, 4, 92590, 620, 659, TRUE

2, 5, 92604, 620, 660, TRUE

2, 6, 92599, 620, 659, TRUE

2, 7, 92604, 620, 660, TRUE

2, 8, 92599, 620, 659, TRUE

2, 9, 92604, 620, 660, TRUE

2, 10, 92599, 620, 659, TRUE

2, 11, 92604, 620, 660, TRUE

2, 12, 92599, 620, 659, TRUE

2, 13, 92604, 620, 660, TRUE

2, 14, 92599, 620, 659, TRUE

2, 15, 92604, 620, 660, TRUE

2, 16, 92599, 620, 659, TRUE

2, 17, 92604, 620, 660, TRUE

2, 18, 92599, 620, 659, TRUE

2, 19, 92604, 620, 660, TRUE

3, 0, 311320, 648, 647, TRUE

3, 1, 97418, 626, 664, TRUE

3, 2, 92616, 626, 662, TRUE

3, 3, 92600, 622, 660, TRUE

3, 4, 92592, 621, 658, TRUE

3, 5, 92593, 619, 659, TRUE

3, 6, 92606, 621, 659, TRUE

3, 7, 92592, 619, 660, TRUE

3, 8, 92593, 621, 658, TRUE

3, 9, 92593, 619, 659, TRUE

3, 10, 92606, 621, 659, TRUE

3, 11, 92592, 619, 660, TRUE

3, 12, 92593, 621, 658, TRUE

3, 13, 92593, 619, 659, TRUE

3, 14, 92606, 621, 659, TRUE

3, 15, 92592, 619, 660, TRUE

3, 16, 92593, 621, 658, TRUE

3, 17, 92593, 619, 659, TRUE

3, 18, 92606, 621, 659, TRUE

3, 19, 92592, 619, 660, TRUE

4, 0, 311337, 653, 654, TRUE

4, 1, 95029, 629, 669, TRUE

4, 2, 92612, 623, 668, TRUE

4, 3, 92606, 623, 665, TRUE

4, 4, 92593, 620, 664, TRUE

4, 5, 92596, 620, 665, TRUE

4, 6, 92598, 620, 664, TRUE

4, 7, 92596, 620, 665, TRUE

4, 8, 92598, 620, 664, TRUE

4, 9, 92596, 620, 665, TRUE

4, 10, 92598, 620, 664, TRUE

4, 11, 92596, 620, 665, TRUE

4, 12, 92598, 620, 664, TRUE

4, 13, 92596, 620, 665, TRUE

4, 14, 92598, 620, 664, TRUE

4, 15, 92596, 620, 665, TRUE

4, 16, 92598, 620, 664, TRUE

4, 17, 92596, 620, 665, TRUE

4, 18, 92598, 620, 664, TRUE

4, 19, 92596, 620, 665, TRUE

5, 0, 311338, 648, 648, TRUE

5, 1, 97420, 627, 664, TRUE

5, 2, 92619, 627, 662, TRUE

5, 3, 92603, 623, 660, TRUE

5, 4, 92592, 621, 658, TRUE

5, 5, 92593, 619, 659, TRUE

5, 6, 92606, 621, 659, TRUE

5, 7, 92592, 619, 660, TRUE

5, 8, 92593, 621, 658, TRUE

5, 9, 92593, 619, 659, TRUE

5, 10, 92606, 621, 659, TRUE

5, 11, 92592, 619, 660, TRUE

5, 12, 92593, 621, 658, TRUE

5, 13, 92593, 619, 659, TRUE

5, 14, 92606, 621, 659, TRUE

5, 15, 92592, 619, 660, TRUE

5, 16, 92593, 621, 658, TRUE

5, 17, 92593, 619, 659, TRUE

5, 18, 92606, 621, 659, TRUE

5, 19, 92592, 619, 660, TRUE

6, 0, 311327, 649, 646, TRUE

6, 1, 95035, 632, 664, TRUE

6, 2, 92612, 623, 663, TRUE

6, 3, 92603, 623, 660, TRUE

6, 4, 92590, 620, 659, TRUE

6, 5, 92604, 620, 660, TRUE

6, 6, 92599, 620, 659, TRUE

6, 7, 92604, 620, 660, TRUE

6, 8, 92599, 620, 659, TRUE

6, 9, 92604, 620, 660, TRUE

6, 10, 92599, 620, 659, TRUE

6, 11, 92604, 620, 660, TRUE

6, 12, 92599, 620, 659, TRUE

6, 13, 92604, 620, 660, TRUE

6, 14, 92599, 620, 659, TRUE

6, 15, 92604, 620, 660, TRUE

6, 16, 92599, 620, 659, TRUE

6, 17, 92604, 620, 660, TRUE

6, 18, 92599, 620, 659, TRUE

6, 19, 92604, 620, 660, TRUE

7, 0, 311338, 652, 651, TRUE

7, 1, 97437, 629, 668, TRUE

7, 2, 92612, 623, 668, TRUE

7, 3, 92606, 623, 665, TRUE

7, 4, 92593, 620, 664, TRUE

7, 5, 92604, 620, 665, TRUE

7, 6, 92602, 620, 664, TRUE

7, 7, 92604, 620, 665, TRUE

7, 8, 92602, 620, 664, TRUE

7, 9, 92604, 620, 665, TRUE

7, 10, 92602, 620, 664, TRUE

7, 11, 92604, 620, 665, TRUE

7, 12, 92602, 620, 664, TRUE

7, 13, 92604, 620, 665, TRUE

7, 14, 92602, 620, 664, TRUE

7, 15, 92604, 620, 665, TRUE

7, 16, 92602, 620, 664, TRUE

7, 17, 92604, 620, 665, TRUE

7, 18, 92602, 620, 664, TRUE

7, 19, 92604, 620, 665, TRUE

8, 0, 311343, 649, 649, TRUE

8, 1, 95022, 631, 663, TRUE

8, 2, 92606, 623, 662, TRUE

8, 3, 92599, 622, 661, TRUE

8, 4, 92596, 620, 660, TRUE

8, 5, 92596, 620, 660, TRUE

8, 6, 92597, 620, 660, TRUE

8, 7, 92596, 620, 660, TRUE

8, 8, 92597, 620, 660, TRUE

8, 9, 92596, 620, 660, TRUE

8, 10, 92597, 620, 660, TRUE

8, 11, 92596, 620, 660, TRUE

8, 12, 92597, 620, 660, TRUE

8, 13, 92596, 620, 660, TRUE

8, 14, 92597, 620, 660, TRUE

8, 15, 92596, 620, 660, TRUE

8, 16, 92597, 620, 660, TRUE

8, 17, 92596, 620, 660, TRUE

8, 18, 92597, 620, 660, TRUE

8, 19, 92596, 620, 660, TRUE

9, 0, 311337, 652, 654, TRUE

9, 1, 97437, 629, 669, TRUE

9, 2, 92612, 623, 668, TRUE

9, 3, 92606, 623, 665, TRUE

9, 4, 92593, 620, 664, TRUE

9, 5, 92604, 620, 665, TRUE

9, 6, 92602, 620, 664, TRUE

9, 7, 92604, 620, 665, TRUE

9, 8, 92602, 620, 664, TRUE

9, 9, 92604, 620, 665, TRUE

9, 10, 92602, 620, 664, TRUE

