run, id, cycles, Branch direction mis, Branch target mis, Correct

32, 4, 92596, 621, 29, TRUE

32, 5, 92601, 621, 28, TRUE

32, 6, 92605, 621, 28, TRUE

32, 7, 92601, 621, 28, TRUE

32, 8, 92605, 621, 28, TRUE

32, 9, 92601, 621, 28, TRUE

32, 10, 92605, 621, 28, TRUE

32, 11, 92601, 621, 28, TRUE

32, 12, 92605, 621, 28, TRUE

32, 13, 92601, 621, 28, TRUE

32, 14, 92605, 621, 28, TRUE

32, 15, 92601, 621, 28, TRUE

32, 16, 92605, 621, 28, TRUE

32, 17, 92601, 621, 28, TRUE

32, 18, 92605, 621, 28, TRUE

32, 19, 92601, 621, 28, TRUE

33, 0, 311315, 646, 28, TRUE

33, 1, 92615, 627, 24, TRUE

